OY,MZ,MY,OZ,Landmark,OX,MX,SubjID
-41.6701,75.73775134,-42.70484265,75.4597,Ch,-21.1721,-19.51242708,L2985
-8.6001,101.075,-8.6001,101.075,Prn,4.30862,4.30862,L2985
49.7389,13.01588313,48.32488449,10.238,Ft,-76.5422,-77.1485477,M8807
30.2194,40.35694206,29.06415487,40.8765,Ex,-49.702,-50.48835998,M8807
27.9975,47.40380596,27.84753042,46.245,En,-20.4448,-21.5171347,M8807
-7.3002,52.65018014,-6.084590483,52.3846,Al,-21.0568,-22.15867475,M8807
-10.0068,56.55857766,-10.63038408,58.3168,Sbal,-13.9626,-16.35231536,M8807
-33.9909,44.34923093,-33.26696597,45.6596,Ch,-31.6832,-31.03875298,M8807
-33.9909,44.34923093,-33.26696597,45.6596,prn,-31.6832,-31.03875298,n8807
-0.645955,76.0928,-0.645955,76.0928,Prn,-4.52221,-4.52221,M8807
33.5832,81.36768439,32.35984884,83.7178,Ft,-37.1132,-35.69333191,N8891_
10.3526,96.4646187,10.74627544,98.0585,Ex,-23.7771,-23.53130744,N8891
5.49214,109.1567745,4.57749575,110.261,En,8.08326,8.9849717,N8891
-32.5394,109.8494635,-32.22120224,110.383,Al,6.49021,7.464545055,N8891
-36.9348,113.5893476,-35.57731413,114.36,Sbal,15.277,15.77801139,N8891
-58.6182,99.71010755,-57.96571288,100.417,Ch,0.132526,-1.499856606,N8891
-27.5252,129.868,-27.5252,129.868,Prn,25.6871,25.6871,N8891
42.5023,-18.46309207,43.22553871,-20.4771,Ft,-57.1728,-56.27634162,O4837
21.2013,0.997468252,21.99068505,-0.689126,Ex,-40.275,-41.05400924,O4837
18.5571,1.647685826,19.34220068,2.04823,En,-13.9455,-13.17033068,O4837
-22.707,10.25972515,,10.9386,Al,-14.3449,-12.99069447,O4837
-25.1066,19.51594537,-25.71111765,18.1826,Sbal,-9.0961,-10.45035864,O4837
-47.5497,9.037827252,68888,7.59361,Ch,-21.9538,-22.41003571,O4837
-15.1883,36.716,-15.1883,36.716,Prn,1.09813,1.09813,O4837
75.2283,-2.493184561,76.51681697,-2.79749,Ft,-58.5541,-58.20664063,P9721
59.4765,13.87628098,59.95846149,12.4824,Ex,-42.6932,-42.33044388,P9721
53.4966,20.03525197,53.19440345,19.4827,En,-14.3458,-14.89330852,P9721
16.7318,26.56606516,13.6418301,26.9861,Al,-13.438,-12.76891467,P9721
12.351,28.64541041,bpmf,28.2885,Sbal,-8.85731,-9.800186695,P9721
-6.11139,13.170854,-4.509294281,14.0684,Ch,-23.9213,-23.65199797,P9721
18.8231,47.2023,18.8231,47.2023,Prn,2.39688,2.39688,P9721
